company_size,customer_segment,contract_type,plan_type,region,age_group,onboarding_completion_pct,arpu,mrr,mrr_segment,expansion_mrr,payment_failures_6m,tenure_months,tenure_bucket,dau_wau_ratio,feature_adoption_rate,login_frequency_monthly,api_calls_monthly,integrations_active,seats_utilized_pct,usage_trend_3m,usage_trend_6m,support_tickets_6m,avg_ticket_resolution_days,nps_score,csat_score,executive_sponsor,decision_maker_change,qbr_meetings_yearly,health_score,customer_growth_pct,competitor_evaluation,contract_renewal_days,churned
1,SMB,1,Basic,North America,36-50,57.1,2134.03,62873.11,Mid Value,1028.21,0,64,> 2 years,0.213,0.508,13.6,98075.0,9,100.0,0.487,0.489,1,2.1,6,4.2,1,0,4,55.4,34.26,0,310,0
2,Mid-Market,1,Enterprise,North America,50+,40.0,203.49,11193.39,Low Value,67.33,1,14,1-2 years,0.465,0.596,29.0,4559.0,4,88.6,0.612,0.761,4,0.9,8,4.2,1,0,4,97.2,48.04,0,149,0
2,Mid-Market,0,Standard,Europe,50+,12.1,547.87,42098.28,High Value,25.82,2,4,< 6 months,0.205,0.345,11.7,2192.0,2,5.0,-0.367,-0.375,15,15.5,4,2.9,0,1,2,42.5,-30.2,1,-15,1
2,Mid-Market,2,Premium,APAC,50+,33.1,242.66,16253.91,High Value,145.35,4,1,< 6 months,0.324,0.009,10.6,3703.0,0,23.7,-0.113,-0.112,14,14.3,5,1.5,0,2,0,35.4,-12.9,0,-11,1
1,SMB,1,Basic,APAC,18-25,29.3,218.62,6003.31,Low Value,140.32,3,12,6-12 months,0.2,0.307,14.7,2269.0,2,45.1,-0.258,-0.213,10,5.9,4,2.3,0,1,1,27.5,-23.33,1,69,1
3,Enterprise,1,Standard,North America,18-25,67.6,2452.91,203612.4,High Value,422.69,1,14,1-2 years,0.625,0.827,23.8,20803.0,2,69.8,0.532,0.508,2,5.1,6,4.4,1,1,2,68.0,10.44,1,203,0
3,Enterprise,1,Standard,Europe,26-35,69.6,1881.6,172054.0,High Value,131.28,1,4,< 6 months,0.251,0.577,30.9,4074.0,9,73.6,0.535,0.616,0,1.1,10,3.0,1,0,4,61.7,10.58,0,159,0
1,SMB,0,Basic,APAC,36-50,48.3,1457.27,48980.08,Mid Value,1006.18,0,54,> 2 years,0.721,0.392,18.4,42744.0,3,85.5,0.953,1.019,4,2.5,8,2.7,1,1,2,86.2,23.65,0,326,0
1,SMB,0,Basic,APAC,50+,55.3,1255.02,38048.6,Mid Value,480.12,0,70,> 2 years,0.691,0.493,14.4,48715.0,6,70.0,0.025,-0.077,6,2.6,6,3.3,1,2,3,71.8,36.75,0,296,0
2,Mid-Market,0,Premium,North America,26-35,71.2,490.05,22257.08,Low Value,593.33,1,11,6-12 months,0.436,0.619,27.7,5643.0,6,30.0,0.206,0.155,3,1.9,10,4.4,0,0,4,49.8,52.25,0,57,0
3,Enterprise,1,Basic,Europe,36-50,64.2,1638.57,81083.44,High Value,382.94,0,8,6-12 months,0.32,0.507,8.2,47247.0,3,100.0,0.408,0.357,6,1.6,9,3.6,0,0,3,82.6,58.53,0,216,0
2,Mid-Market,1,Standard,Europe,26-35,83.3,582.66,18540.78,Low Value,1398.33,0,18,1-2 years,0.297,0.295,28.9,58294.0,11,58.6,-0.073,-0.049,1,4.6,10,3.0,1,2,4,65.8,57.1,0,286,0
3,Enterprise,0,Premium,LATAM,36-50,60.7,2181.47,194894.91,High Value,751.4,0,62,> 2 years,0.48,0.898,20.1,25071.0,1,46.9,-0.099,-0.049,7,3.8,8,3.1,0,0,4,66.3,37.39,0,355,0
3,Enterprise,1,Premium,Europe,36-50,91.0,247.74,13870.5,Low Value,1086.77,0,46,> 2 years,0.336,0.583,15.1,34424.0,6,55.6,0.868,0.978,1,3.5,6,4.4,1,1,4,88.6,24.8,0,311,0
3,Enterprise,2,Enterprise,Europe,26-35,84.4,586.03,68592.64,Mid Value,1439.7,0,67,> 2 years,0.603,0.694,19.4,18780.0,9,90.9,0.115,0.173,1,1.9,7,3.8,1,1,3,69.5,-1.21,1,283,0
2,Mid-Market,0,Standard,North America,26-35,87.0,1572.12,47464.06,Mid Value,1440.22,0,71,> 2 years,0.582,0.522,44.2,6379.0,11,73.7,0.344,0.293,3,4.2,10,4.4,1,1,4,55.5,77.76,0,363,0
2,Mid-Market,1,Premium,North America,36-50,86.8,2398.06,179955.3,High Value,412.71,0,38,> 2 years,0.251,0.495,31.7,53822.0,2,73.2,0.476,0.543,7,3.1,8,2.8,1,1,1,47.4,22.35,1,161,0
1,SMB,1,Basic,North America,36-50,24.4,235.32,5521.34,Low Value,155.6,3,9,6-12 months,0.25,0.311,9.4,4600.0,0,37.8,-0.741,-0.693,12,13.6,3,1.8,0,1,2,51.6,1.5,0,47,1
1,SMB,1,Standard,Europe,36-50,73.0,672.22,14867.5,Low Value,1029.69,0,48,> 2 years,0.792,0.415,10.2,0.0,7,76.6,0.053,0.167,5,3.3,6,3.3,1,1,4,59.0,19.21,0,260,0
1,SMB,0,Premium,Europe,36-50,71.8,1183.21,26953.61,Low Value,510.37,0,38,> 2 years,0.647,0.408,31.3,71434.0,10,50.6,0.625,0.498,4,4.9,10,4.5,1,0,3,90.8,28.07,0,187,0
1,SMB,2,Premium,Europe,36-50,57.7,507.22,14779.88,Low Value,566.46,0,51,> 2 years,0.487,0.807,25.4,47304.0,2,95.7,-0.283,-0.205,1,0.2,9,3.8,0,1,4,61.1,-7.72,0,126,0
3,Enterprise,1,Premium,Europe,50+,64.6,151.1,5715.78,Low Value,922.41,0,60,> 2 years,0.42,0.726,36.3,15557.0,10,75.7,-0.199,-0.108,6,1.9,5,2.6,0,0,3,85.1,47.28,0,291,0
2,Mid-Market,1,Standard,Europe,18-25,87.0,1761.95,71481.61,Mid Value,344.99,1,66,> 2 years,0.587,0.495,19.8,89649.0,9,77.1,0.992,1.094,7,1.3,10,3.5,0,1,4,64.3,19.12,0,113,0
2,Mid-Market,0,Enterprise,APAC,18-25,72.4,1905.65,38752.17,Mid Value,455.81,0,56,> 2 years,0.356,0.574,52.2,37765.0,2,62.1,0.989,0.778,7,4.1,9,2.5,1,1,4,48.0,30.45,0,223,0
3,Enterprise,0,Basic,APAC,50+,10.0,540.32,27310.78,High Value,93.38,3,8,6-12 months,0.179,0.213,7.1,1934.0,2,40.7,0.107,0.122,14,10.3,4,1.4,0,1,2,23.1,-0.4,0,43,1
3,Enterprise,0,Enterprise,Europe,26-35,48.3,1408.05,163154.11,High Value,1481.42,1,40,> 2 years,0.336,0.406,14.1,99644.0,6,81.1,-0.499,-0.351,2,3.6,7,4.1,1,1,3,58.5,79.62,0,333,0
2,Mid-Market,2,Standard,LATAM,18-25,63.5,1720.78,86966.12,High Value,499.12,0,30,> 2 years,0.447,0.893,20.9,57209.0,4,55.2,0.632,0.654,7,1.3,8,4.7,0,1,2,86.5,8.68,0,71,0
3,Enterprise,1,Standard,Europe,18-25,40.0,1359.3,139864.73,High Value,883.4,1,71,> 2 years,0.769,0.65,29.4,88964.0,3,68.6,1.03,0.797,2,4.6,8,3.2,1,0,1,56.4,16.35,0,216,0
3,Enterprise,2,Basic,Europe,36-50,43.9,1637.14,187745.0,High Value,1406.34,0,68,> 2 years,0.457,0.793,26.1,14179.0,10,100.0,0.714,0.571,6,0.2,5,4.0,1,0,1,89.2,31.47,1,148,0
2,Mid-Market,1,Standard,LATAM,26-35,40.0,1392.41,29366.31,Low Value,626.65,1,58,> 2 years,0.519,0.531,17.8,7060.0,2,96.2,0.695,0.83,7,1.0,5,4.0,0,1,3,95.3,-2.57,0,343,0
2,Mid-Market,0,Premium,APAC,36-50,73.2,1661.34,131156.85,High Value,559.23,0,49,> 2 years,0.612,0.562,37.7,40388.0,2,85.6,0.058,0.113,7,1.4,6,3.3,1,2,3,82.6,61.81,0,115,0
1,SMB,2,Standard,APAC,36-50,28.3,329.5,9063.14,Mid Value,146.95,2,22,1-2 years,0.094,0.106,6.6,268.0,3,31.3,-0.086,-0.119,6,7.2,1,2.1,0,1,1,14.3,-15.73,0,-6,1
2,Mid-Market,0,Basic,North America,26-35,30.9,493.34,12754.5,Mid Value,7.24,5,5,< 6 months,0.233,0.097,4.1,2783.0,2,56.4,-0.576,-0.671,11,4.6,1,1.9,0,0,1,18.0,-22.53,1,45,1
3,Enterprise,0,Standard,APAC,36-50,10.0,87.78,7519.35,Mid Value,20.99,3,1,< 6 months,0.133,0.08,3.4,3343.0,2,28.3,-0.448,-0.585,20,5.1,6,1.8,0,0,1,46.0,9.56,1,34,1
2,Mid-Market,2,Basic,LATAM,50+,76.1,1757.12,128833.9,High Value,755.9,0,24,1-2 years,0.476,0.832,9.8,40670.0,2,81.6,1.012,0.815,6,3.1,10,3.1,0,1,4,89.9,50.41,0,232,0
2,Mid-Market,1,Premium,North America,18-25,83.2,2071.38,34061.01,Mid Value,1004.66,1,11,6-12 months,0.444,0.57,27.7,39082.0,7,56.1,0.035,0.008,5,1.8,5,4.7,1,1,1,79.8,11.38,0,253,0
2,Mid-Market,0,Basic,APAC,26-35,15.9,417.92,7704.41,Mid Value,182.61,3,14,1-2 years,0.314,0.3,0.0,3592.0,3,73.7,-0.278,-0.276,8,13.9,2,2.4,0,0,0,29.5,-4.64,1,56,1
3,Enterprise,0,Standard,Europe,26-35,48.1,2396.21,182185.93,High Value,1229.54,0,14,1-2 years,0.374,0.609,1.5,25102.0,3,62.1,0.066,0.065,6,4.6,5,3.3,0,1,2,83.3,-4.75,0,219,0
3,Enterprise,0,Enterprise,APAC,36-50,55.0,1850.14,156071.24,High Value,135.49,1,23,1-2 years,0.316,0.596,0.0,37627.0,7,54.9,-0.118,-0.114,3,3.0,7,4.3,0,1,1,60.7,33.98,0,275,0
2,Mid-Market,0,Enterprise,LATAM,26-35,98.7,864.5,41030.1,Mid Value,816.7,1,61,> 2 years,0.364,0.536,56.3,55183.0,8,70.3,0.435,0.459,5,3.5,5,5.0,1,1,1,92.0,43.29,0,204,0
2,Mid-Market,0,Premium,APAC,26-35,76.0,268.82,15255.34,Low Value,263.15,2,22,1-2 years,0.51,0.446,59.6,41945.0,4,72.6,0.085,0.197,0,1.1,5,2.9,1,1,2,74.2,21.2,1,238,0
2,Mid-Market,0,Standard,North America,18-25,78.0,642.02,41647.03,Mid Value,1032.67,1,66,> 2 years,0.259,0.575,13.9,94343.0,10,78.9,0.854,0.937,0,3.8,5,3.7,1,0,2,94.3,61.19,0,260,0
3,Enterprise,2,Enterprise,APAC,36-50,82.4,2407.22,266375.55,High Value,1074.33,0,41,> 2 years,0.503,0.68,18.2,61071.0,8,100.0,0.481,0.38,7,4.7,6,4.5,1,1,2,55.8,20.9,0,291,0
2,Mid-Market,1,Premium,North America,26-35,86.8,687.75,29841.69,Low Value,619.14,1,57,> 2 years,0.617,0.736,8.5,31515.0,5,83.4,0.587,0.747,2,3.1,9,4.2,1,2,4,70.4,32.33,0,195,0
1,SMB,1,Enterprise,Europe,36-50,57.5,1706.03,58844.5,Mid Value,897.06,1,22,1-2 years,0.553,0.717,50.3,84127.0,11,64.5,-0.459,-0.464,5,1.4,6,4.0,0,0,4,73.8,38.51,0,264,0
3,Enterprise,1,Premium,LATAM,36-50,78.7,1960.43,199970.76,High Value,492.41,0,31,> 2 years,0.393,0.532,33.7,11635.0,1,75.1,0.602,0.702,5,3.0,9,3.2,1,0,1,83.9,74.97,0,103,0
1,SMB,0,Basic,Europe,36-50,19.3,167.36,3015.44,Low Value,91.21,2,11,6-12 months,0.164,0.726,13.1,747.0,0,50.4,-0.676,-0.63,3,8.6,0,2.6,0,1,1,49.5,1.79,1,30,1
1,SMB,0,Premium,North America,50+,18.1,324.64,12283.25,Mid Value,63.35,1,16,1-2 years,0.419,0.339,11.2,1328.0,3,5.0,0.093,0.197,13,5.0,5,2.2,0,1,0,46.1,-21.55,0,26,1
1,SMB,0,Standard,Europe,26-35,79.6,1122.41,16925.51,Low Value,908.25,0,71,> 2 years,0.322,0.645,41.8,30125.0,2,37.7,0.191,0.187,0,3.1,7,4.3,0,0,3,55.6,-9.98,1,240,0
3,Enterprise,2,Premium,North America,26-35,74.4,2127.63,218551.18,High Value,363.6,0,47,> 2 years,0.678,0.769,48.2,96621.0,2,81.4,0.602,0.466,3,1.6,7,4.9,1,0,3,62.0,69.61,0,157,0
3,Enterprise,0,Basic,North America,18-25,92.1,2293.05,271744.84,High Value,1274.29,3,11,6-12 months,0.37,0.322,25.6,83259.0,1,68.2,0.64,0.746,2,3.5,8,3.3,1,0,2,56.8,34.34,0,135,0
1,SMB,1,Standard,Europe,50+,10.0,36.59,1115.53,Low Value,139.17,2,13,1-2 years,0.21,0.221,3.0,1724.0,1,44.1,-0.622,-0.379,14,5.5,0,2.0,0,2,1,33.1,-15.33,0,2,1
2,Mid-Market,0,Basic,North America,18-25,19.4,624.51,45106.07,High Value,193.26,3,12,6-12 months,0.057,0.343,9.4,4611.0,0,34.7,-0.022,-0.025,8,13.6,6,2.0,0,2,1,23.3,5.21,1,7,1
3,Enterprise,1,Standard,North America,26-35,57.2,491.78,38405.42,Mid Value,1257.87,1,64,> 2 years,0.305,0.351,9.9,3304.0,8,46.9,0.715,0.447,4,3.7,9,4.8,0,0,3,63.1,-2.18,0,128,0
2,Mid-Market,1,Basic,APAC,36-50,41.9,459.25,16864.46,High Value,81.27,3,13,1-2 years,0.226,0.364,0.0,1609.0,2,11.9,-0.238,-0.144,11,9.0,6,1.3,0,0,0,35.9,-15.24,0,74,1
3,Enterprise,1,Premium,North America,26-35,77.9,857.54,45568.83,Mid Value,1282.03,0,28,> 2 years,0.433,0.98,19.2,76114.0,10,87.9,0.553,0.4,7,2.8,9,3.6,1,2,4,92.3,35.71,0,107,0
1,SMB,1,Premium,Europe,26-35,97.6,568.35,8612.22,Low Value,118.3,0,32,> 2 years,0.622,0.741,30.8,30937.0,2,75.9,-0.293,-0.248,6,1.3,8,3.8,1,1,2,73.2,71.53,0,293,0
3,Enterprise,1,Enterprise,Europe,36-50,71.5,1626.81,52691.94,Mid Value,1073.83,1,42,> 2 years,0.741,0.591,11.9,73934.0,4,31.8,0.759,0.873,4,4.1,8,4.6,1,1,1,86.4,10.81,0,265,0
1,SMB,1,Basic,North America,26-35,57.9,511.31,5786.57,Low Value,83.2,1,16,1-2 years,0.106,0.238,3.4,4628.0,1,16.7,0.101,0.085,10,9.1,5,2.7,0,2,1,38.4,4.14,1,-27,1
2,Mid-Market,0,Basic,Europe,36-50,11.7,466.17,9438.53,Mid Value,116.49,2,23,1-2 years,0.478,0.396,14.7,1251.0,3,12.8,-0.437,-0.532,20,9.0,3,1.8,0,2,2,12.3,-20.71,1,48,1
1,SMB,0,Standard,North America,26-35,69.5,1178.63,22466.44,Low Value,657.85,0,69,> 2 years,0.23,0.52,14.5,24897.0,11,84.1,0.462,0.402,4,2.4,8,2.9,0,0,4,82.7,68.86,0,347,0
1,SMB,1,Premium,APAC,26-35,53.9,647.93,10774.01,Low Value,967.13,0,10,6-12 months,0.507,0.342,42.5,63611.0,10,67.5,0.959,1.217,7,4.1,10,3.6,1,0,4,75.6,29.16,0,106,0
1,SMB,2,Basic,LATAM,36-50,50.4,799.6,25883.62,Low Value,954.13,1,47,> 2 years,0.616,0.813,48.7,28657.0,8,50.5,0.096,0.126,7,2.8,6,3.7,1,1,1,94.3,37.06,0,42,0
3,Enterprise,1,Enterprise,LATAM,36-50,64.3,536.28,50557.89,Mid Value,642.44,0,8,6-12 months,0.627,0.544,29.9,2934.0,4,65.4,-0.341,-0.252,6,3.7,8,4.5,1,1,1,69.7,7.59,0,324,0
2,Mid-Market,1,Standard,APAC,26-35,27.8,587.1,35086.07,High Value,183.99,0,1,< 6 months,0.296,0.288,13.7,691.0,2,27.6,0.129,0.17,11,11.4,6,3.7,1,2,0,29.7,-0.82,1,8,1
1,SMB,1,Basic,LATAM,26-35,27.2,178.38,1738.12,Low Value,21.18,4,4,< 6 months,0.172,0.352,5.8,3534.0,1,10.2,0.006,-0.037,11,3.6,1,2.7,0,1,1,42.1,-22.8,0,-5,1
1,SMB,1,Basic,APAC,50+,18.3,240.59,5710.22,Low Value,54.15,3,4,< 6 months,0.174,0.316,3.2,411.0,1,18.3,-0.567,-0.378,11,6.6,2,2.0,0,1,0,20.6,-29.09,1,43,1
1,SMB,0,Standard,North America,18-25,69.7,777.0,18958.05,Low Value,101.78,0,62,> 2 years,0.816,0.645,58.0,21217.0,8,61.4,0.339,0.219,6,4.1,7,4.0,1,0,2,94.3,4.52,0,297,0
1,SMB,1,Standard,APAC,26-35,62.2,451.61,12702.1,Low Value,417.03,0,53,> 2 years,0.605,0.795,21.4,63307.0,11,79.3,-0.128,-0.218,0,4.0,10,4.0,1,0,4,98.0,34.6,0,196,0
2,Mid-Market,1,Premium,LATAM,26-35,81.4,648.96,47746.15,Mid Value,892.78,0,51,> 2 years,0.409,0.542,41.8,100535.0,7,74.5,0.148,0.186,7,2.3,8,3.4,0,0,3,77.0,54.8,0,322,0
2,Mid-Market,0,Premium,APAC,26-35,59.1,1646.74,94486.9,High Value,576.54,0,4,< 6 months,0.23,0.754,60.4,66988.0,11,58.0,0.266,0.317,0,5.4,6,3.4,0,1,2,64.6,14.8,0,154,0
1,SMB,1,Enterprise,APAC,18-25,69.3,1692.82,58598.73,Mid Value,1492.43,0,71,> 2 years,0.302,0.678,45.0,97400.0,1,74.2,-0.371,-0.392,6,1.0,5,4.1,1,0,2,58.4,18.92,0,61,0
3,Enterprise,0,Basic,North America,18-25,95.4,1225.85,93901.15,High Value,1415.15,1,34,> 2 years,0.613,0.273,32.9,46402.0,10,63.6,0.06,0.132,6,1.3,10,4.4,1,1,3,93.9,37.0,0,210,0
